slot_va	rva	target_va	is_pdata_start	target_owner
0x140f8e4d8	0x65002e	0x14065002e	no	0x140643ae0..0x1406656b1
0x140f8e4dc	0x650078	0x140650078	no	0x140643ae0..0x1406656b1
0x140f8e500	0x646d63	0x140646d63	no	0x140643ae0..0x1406656b1
0x140f8e520	0x646d63	0x140646d63	no	0x140643ae0..0x1406656b1
0x140f8e580	0x646d63	0x140646d63	no	0x140643ae0..0x1406656b1
0x140f8e5a0	0x646d63	0x140646d63	no	0x140643ae0..0x1406656b1
0x140f8e5c4	0x706d74	0x140706d74	no	0x1406dacb0..0x140720697
0x140f8e5e4	0x706d74	0x140706d74	no	0x1406dacb0..0x140720697
0x140f8e5e8	0x6d0063	0x1406d0063	no	0x1406cd1b0..0x1406daca2
0x140f8e5ec	0x2e0064	0x1402e0064	no	NO-FUNCTION
0x140f8e5f0	0x780065	0x140780065	no	0x140770330..0x140783d53
0x140f8e5f4	0x200065	0x140200065	no	NO-FUNCTION
0x140f8e5f8	0x64002f	0x14064002f	no	0x140619940..0x140643adc
0x140f8e5fc	0x2f0020	0x1402f0020	no	NO-FUNCTION
0x140f8e600	0x200063	0x140200063	no	NO-FUNCTION
0x140f8e608	0x6f004e	0x1406f004e	no	0x1406dacb0..0x140720697
0x140f8e60c	0x65006e	0x14065006e	no	0x140643ae0..0x1406656b1
0x140f8e618	0x7c0020	0x1407c0020	no	0x1407bfc80..0x1407c041a
0x140f8e620	0x2f0020	0x1402f0020	no	NO-FUNCTION
0x140f8e624	0x6f0066	0x1406f0066	no	0x1406dacb0..0x140720697
0x140f8e628	0x6d0072	0x1406d0072	no	0x1406cd1b0..0x1406daca2
0x140f8e62c	0x740061	0x140740061	no	0x1407206a0..0x14075b438
0x140f8e630	0x6c003a	0x1406c003a	no	0x14069eaa0..0x1406cd1a2
0x140f8e634	0x730069	0x140730069	no	0x1407206a0..0x14075b438
0x140f8e640	0x6d0077	0x1406d0077	no	0x1406cd1b0..0x1406daca2
0x140f8e644	0x630069	0x140630069	no	0x140619940..0x140643adc
0x140f8e650	0x6e0049	0x1406e0049	no	0x1406dacb0..0x140720697
0x140f8e654	0x740069	0x140740069	no	0x1407206a0..0x14075b438
0x140f8e658	0x610069	0x140610069	no	0x1405e8220..0x1406196ee
0x140f8e660	0x650053	0x140650053	no	0x140643ae0..0x1406656b1
0x140f8e664	0x690072	0x140690072	no	0x140680980..0x14069e996
0x140f8e668	0x6c0061	0x1406c0061	no	0x14069eaa0..0x1406cd1a2
0x140f8e66c	0x75004e	0x14075004e	no	0x1407206a0..0x14075b438
0x140f8e670	0x62006d	0x14062006d	no	0x140619940..0x140643adc
0x140f8e674	0x720065	0x140720065	no	0x1406dacb0..0x140720697
0x140f8e680	0x610062	0x140610062	no	0x1405e8220..0x1406196ee
0x140f8e684	0x650073	0x140650073	no	0x140643ae0..0x1406656b1
0x140f8e688	0x6f0062	0x1406f0062	no	0x1406dacb0..0x140720697
0x140f8e68c	0x720061	0x140720061	no	0x1406dacb0..0x140720697
0x140f8e690	0x200064	0x140200064	no	NO-FUNCTION
0x140f8e694	0x650067	0x140650067	no	0x140643ae0..0x1406656b1
0x140f8e698	0x200074	0x140200074	no	NO-FUNCTION
0x140f8e69c	0x650053	0x140650053	no	0x140643ae0..0x1406656b1
0x140f8e6a0	0x690072	0x140690072	no	0x140680980..0x14069e996
0x140f8e6a4	0x6c0061	0x1406c0061	no	0x14069eaa0..0x1406cd1a2
0x140f8e6a8	0x75004e	0x14075004e	no	0x1407206a0..0x14075b438
0x140f8e6ac	0x62006d	0x14062006d	no	0x140619940..0x140643adc
0x140f8e6b0	0x720065	0x140720065	no	0x1406dacb0..0x140720697
0x140f8e6b8	0x6f0042	0x1406f0042	no	0x1406dacb0..0x140720697
0x140f8e6bc	0x720061	0x140720061	no	0x1406dacb0..0x140720697
0x140f8e6c0	0x490064	0x140490064	no	NO-FUNCTION
0x140f8e6c8	0x550055	0x140550055	no	NO-FUNCTION
0x140f8e6cc	0x440049	0x140440049	no	NO-FUNCTION
0x140f8e6d8	0x730063	0x140730063	no	0x1407206a0..0x14075b438
0x140f8e6dc	0x720070	0x140720070	no	0x1406dacb0..0x140720697
0x140f8e6e0	0x64006f	0x14064006f	no	0x140619940..0x140643adc
0x140f8e6e4	0x630075	0x140630075	no	0x140619940..0x140643adc
0x140f8e6e8	0x200074	0x140200074	no	NO-FUNCTION
0x140f8e6ec	0x650067	0x140650067	no	0x140643ae0..0x1406656b1
0x140f8e6f0	0x200074	0x140200074	no	NO-FUNCTION
0x140f8e6f4	0x550055	0x140550055	no	NO-FUNCTION
0x140f8e6f8	0x440049	0x140440049	no	NO-FUNCTION
0x140f8e700	0x750055	0x140750055	no	0x1407206a0..0x14075b438
0x140f8e704	0x640069	0x140640069	no	0x140619940..0x140643adc
0x140f8e710	0x61004e	0x14061004e	no	0x1405e8220..0x1406196ee
0x140f8e714	0x65006d	0x14065006d	no	0x140643ae0..0x1406656b1
0x140f8e720	0x730063	0x140730063	no	0x1407206a0..0x14075b438
0x140f8e724	0x720070	0x140720070	no	0x1406dacb0..0x140720697
0x140f8e728	0x64006f	0x14064006f	no	0x140619940..0x140643adc
0x140f8e72c	0x630075	0x140630075	no	0x140619940..0x140643adc
0x140f8e730	0x200074	0x140200074	no	NO-FUNCTION
0x140f8e734	0x650067	0x140650067	no	0x140643ae0..0x1406656b1
0x140f8e738	0x200074	0x140200074	no	NO-FUNCTION
0x140f8e73c	0x61004e	0x14061004e	no	0x1405e8220..0x1406196ee
0x140f8e740	0x65006d	0x14065006d	no	0x140643ae0..0x1406656b1
0x140f8e748	0x720042	0x140720042	no	0x1406dacb0..0x140720697
0x140f8e74c	0x6e0061	0x1406e0061	no	0x1406dacb0..0x140720697
0x140f8e750	0x4d0064	0x1404d0064	no	NO-FUNCTION
0x140f8e754	0x64006f	0x14064006f	no	0x140619940..0x140643adc
0x140f8e758	0x6c0065	0x1406c0065	no	0x14069eaa0..0x1406cd1a2
0x140f8e760	0x690062	0x140690062	no	0x140680980..0x14069e996
0x140f8e764	0x73006f	0x14073006f	no	0x1407206a0..0x14075b438
0x140f8e768	0x670020	0x140670020	no	0x140665910..0x140680974
0x140f8e76c	0x740065	0x140740065	no	0x1407206a0..0x14075b438
0x140f8e770	0x530020	0x140530020	no	NO-FUNCTION
0x140f8e774	0x720065	0x140720065	no	0x1406dacb0..0x140720697
0x140f8e778	0x610069	0x140610069	no	0x1405e8220..0x1406196ee
0x140f8e77c	0x4e006c	0x1404e006c	no	NO-FUNCTION
0x140f8e780	0x6d0075	0x1406d0075	no	0x1406cd1b0..0x1406daca2
0x140f8e784	0x650062	0x140650062	no	0x140643ae0..0x1406656b1
0x140f8e790	0x690042	0x140690042	no	0x140680980..0x14069e996
0x140f8e794	0x73006f	0x14073006f	no	0x1407206a0..0x14075b438
0x140f8e798	0x650053	0x140650053	no	0x140643ae0..0x1406656b1
0x140f8e79c	0x690072	0x140690072	no	0x140680980..0x14069e996
0x140f8e7a0	0x6c0061	0x1406c0061	no	0x14069eaa0..0x1406cd1a2
0x140f8e7a8	0x690064	0x140690064	no	0x140680980..0x14069e996
0x140f8e7ac	0x6b0073	0x1406b0073	no	0x14069eaa0..0x1406cd1a2
0x140f8e7b0	0x720064	0x140720064	no	0x1406dacb0..0x140720697
0x140f8e7b4	0x760069	0x140760069	no	0x14075e430..0x14076324d
0x140f8e7b8	0x200065	0x140200065	no	NO-FUNCTION
0x140f8e7bc	0x650067	0x140650067	no	0x140643ae0..0x1406656b1
0x140f8e7c0	0x200074	0x140200074	no	NO-FUNCTION
0x140f8e7c4	0x650053	0x140650053	no	0x140643ae0..0x1406656b1
